KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"70427";"Lidl Digital International GmbH";"Passiva";"Kreditor";"Kreditor"
"70428";"Cleverbridge GmbH";"Passiva";"Kreditor";"Kreditor"
"70429";"alupedia Borga GmbH";"Passiva";"Kreditor";"Kreditor"
"70430";"ESSO Stephanie John";"Passiva";"Kreditor";"Kreditor"
"70431";"Aral Tankstelle Anne Notzke";"Passiva";"Kreditor";"Kreditor"
"70432";"Total Energies Station Steven Hanke";"Passiva";"Kreditor";"Kreditor"
"70433";"BI0 C0MPANY SE";"Passiva";"Kreditor";"Kreditor"
"70434";"H0RNHACH Baumarkt AG Filiale";"Passiva";"Kreditor";"Kreditor"
"70435";"H0RNBACH Baumarkt AG Fillale";"Passiva";"Kreditor";"Kreditor"
"70436";"Globus Fachnerkte UmbH 8 Co. KG 79 BFM Lindenberg";"Passiva";"Kreditor";"Kreditor"
"70437";"Bauhaus 577 Birkenwerder";"Passiva";"Kreditor";"Kreditor"
"70438";"AGIP Service";"Passiva";"Kreditor";"Kreditor"
"70440";"CAPPUCCINO";"Passiva";"Kreditor";"Kreditor"
"70441";"SHELL STATI0N Scheffel Tankstellen GmbH";"Passiva";"Kreditor";"Kreditor"
"70442";"Bauhaus mbH & Co. KG 814 BERLIN";"Passiva";"Kreditor";"Kreditor"
"70443";"Jet Tanketelle  Martin Breuer";"Passiva";"Kreditor";"Kreditor"
"70444";"SB Tankstelle Haken öztürk";"Passiva";"Kreditor";"Kreditor"
